,Year,Month,Value,city
25,2023,Aug,271.154,../data/cpi_data/Houston
26,2023,Dec,,../data/cpi_data/Houston
27,2023,Feb,263.537,../data/cpi_data/Houston
28,2023,Jan,,../data/cpi_data/Houston
29,2023,Jul,,../data/cpi_data/Houston
30,2023,Jun,268.379,../data/cpi_data/Houston
31,2023,Mar,,../data/cpi_data/Houston
32,2023,May,,../data/cpi_data/Houston
33,2023,Nov,,../data/cpi_data/Houston
34,2023,Oct,,../data/cpi_data/Houston
35,2023,Sep,,../data/cpi_data/Houston
