,Year,Month,Value,city
2,2021,Dec,,./cpi_data/Denver
3,2021,Feb,,./cpi_data/Denver
4,2021,Jan,272.156,./cpi_data/Denver
5,2021,Jul,285.268,./cpi_data/Denver
6,2021,Jun,,./cpi_data/Denver
7,2021,Mar,274.43,./cpi_data/Denver
8,2021,May,280.154,./cpi_data/Denver
9,2021,Nov,289.621,./cpi_data/Denver
10,2021,Oct,,./cpi_data/Denver
11,2021,Sep,286.186,./cpi_data/Denver
12,2022,Apr,,./cpi_data/Denver
13,2022,Aug,,./cpi_data/Denver
14,2022,Dec,,./cpi_data/Denver
15,2022,Feb,,./cpi_data/Denver
16,2022,Jan,293.58,./cpi_data/Denver
17,2022,Jul,308.728,./cpi_data/Denver
18,2022,Jun,,./cpi_data/Denver
19,2022,Mar,299.529,./cpi_data/Denver
20,2022,May,303.51,./cpi_data/Denver
21,2022,Nov,309.655,./cpi_data/Denver
22,2022,Oct,,./cpi_data/Denver
23,2022,Sep,308.211,./cpi_data/Denver
24,2023,Apr,,./cpi_data/Denver
25,2023,Aug,,./cpi_data/Denver
26,2023,Dec,,./cpi_data/Denver
27,2023,Feb,,./cpi_data/Denver
28,2023,Jan,312.392,./cpi_data/Denver
29,2023,Jul,323.298,./cpi_data/Denver
30,2023,Jun,,./cpi_data/Denver
31,2023,Mar,316.566,./cpi_data/Denver
32,2023,May,319.132,./cpi_data/Denver
33,2023,Nov,,./cpi_data/Denver
34,2023,Oct,,./cpi_data/Denver
35,2023,Sep,,./cpi_data/Denver
0,2021,Apr,,./cpi_data/San_Diego
1,2021,Aug,,./cpi_data/San_Diego
2,2021,Dec,,./cpi_data/San_Diego
3,2021,Feb,,./cpi_data/San_Diego
4,2021,Jan,307.688,./cpi_data/San_Diego
5,2021,Jul,323.906,./cpi_data/San_Diego
6,2021,Jun,,./cpi_data/San_Diego
7,2021,Mar,315.035,./cpi_data/San_Diego
8,2021,May,317.141,./cpi_data/San_Diego
9,2021,Nov,326.422,./cpi_data/San_Diego
10,2021,Oct,,./cpi_data/San_Diego
11,2021,Sep,324.138,./cpi_data/San_Diego
12,2022,Apr,,./cpi_data/San_Diego
13,2022,Aug,,./cpi_data/San_Diego
14,2022,Dec,,./cpi_data/San_Diego
15,2022,Feb,,./cpi_data/San_Diego
16,2022,Jan,332.99,./cpi_data/San_Diego
17,2022,Jul,347.462,./cpi_data/San_Diego
18,2022,Jun,,./cpi_data/San_Diego
19,2022,Mar,339.852,./cpi_data/San_Diego
20,2022,May,343.502,./cpi_data/San_Diego
21,2022,Nov,348.145,./cpi_data/San_Diego
22,2022,Oct,,./cpi_data/San_Diego
